id	cvgt
Abildgaar	False
Actinosch	False
Baumea	False
Blysmus	False
Bolboscho	False
Bulbostyl	True
Carex.ber	False
Carex.com	False
Carex.hal	False
Carex.pen	False
Carpha	False
Chrysithr	False
Cladium	False
Coleochlo	False
Cyp.alt3	False
Cyp.capi	True
Cyp.era1	False
Cyp.era6	False
Cyp.fusc	False
Cyp.iria	True
Cyp.long	True
Cyp.papy	True
Cyp.pulc	False
Cyp.rotu	True
Cyp.spha	False
Cyp.ustu	True
Cyp.ust2	True
Ele.acut	False
Ele.bald	True
Ele.bal2	True
Ele.bal4	True
Ele.bal3	False
Ele.fici	False
Ele.geni	False
Ele.grac	False
Ele.gra2	False
Ele.limo	False
Ele.lim2	False
Ele.lim3	False
Ele.palu	False
Ele.pal2	False
Ele.quan	False
Ele.rost	False
Ele.vivi	True
Ele.viv2	False
Eriophor	False
Fimb.dic	False
Fimb.di2	True
Fimb.fer	True
Fimb.fe2	False
Fimb.lit	False
Fimb.li2	True
Fuir.abn	False
Fuir.umb	False
Hellmut1	False
Hellmut2	False
Isolepis	False
Killinga	True
Machaeri	False
Microdra	False
Pycreus	True
Rhy.alba	False
Rhy.albi	False
Rhy.glob	True
Rhy.glo2	True
Rhy.grac	False
Rhy.rubr	True
Scho.lac	False
Scho.muc	False
Scho.val	False
Schoenox	False
Schoenus	False
Scirpoid	False
Scirpus	False
Uncin.ph	False
Uncin.un	False
Volkiell	True
Ele.vivA	True
Remirea	True
