Analysis	Replicate	TP	FP	FN	TN	Type1	Recall	Precision	F1Score
emergence	0	10	3	2	2	0.6	0.833333333333333	0.769230769230769	0.8
correlation	0	8	0	4	5	0	0.666666666666667	1	0.8
condor	0	6	0	6	5	0	0.5	1	0.666666666666667
emergence	1	12	0	0	2	0	1	1	1
correlation	1	8	0	4	2	0	0.666666666666667	1	0.8
condor	1	8	0	4	2	0	0.666666666666667	1	0.8
emergence	2	12	1	0	0	1	1	0.923076923076923	0.96
correlation	2	8	0	4	1	0	0.666666666666667	1	0.8
condor	2	8	0	4	1	0	0.666666666666667	1	0.8
emergence	3	12	2	0	0	1	1	0.857142857142857	0.923076923076923
correlation	3	8	0	4	2	0	0.666666666666667	1	0.8
condor	3	8	0	4	2	0	0.666666666666667	1	0.8
emergence	4	12	0	0	2	0	1	1	1
correlation	4	8	0	4	2	0	0.666666666666667	1	0.8
condor	4	8	0	4	2	0	0.666666666666667	1	0.8
emergence	5	12	3	0	0	1	1	0.8	0.888888888888889
correlation	5	8	0	4	3	0	0.666666666666667	1	0.8
condor	5	8	0	4	3	0	0.666666666666667	1	0.8
emergence	6	12	2	0	0	1	1	0.857142857142857	0.923076923076923
correlation	6	8	0	4	2	0	0.666666666666667	1	0.8
condor	6	8	0	4	2	0	0.666666666666667	1	0.8
emergence	7	12	0	0	1	0	1	1	1
correlation	7	11	0	1	1	0	0.916666666666667	1	0.956521739130435
condor	7	11	0	1	1	0	0.916666666666667	1	0.956521739130435
emergence	8	12	0	0	2	0	1	1	1
correlation	8	8	0	4	2	0	0.666666666666667	1	0.8
condor	8	8	0	4	2	0	0.666666666666667	1	0.8
emergence	9	9	0	3	3	0	0.75	1	0.857142857142857
correlation	9	9	0	3	3	0	0.75	1	0.857142857142857
condor	9	7	0	5	3	0	0.583333333333333	1	0.736842105263158
emergence	AVG	11.5	1.1	0.5	1.2	0.478260869565217	0.958333333333333	0.912698412698413	0.934959349593496
correlation	AVG	8.4	0	3.6	2.3	0	0.7	1	0.823529411764706
condor	AVG	8	0	4	2.3	0	0.666666666666667	1	0.8
